"block_num","block","rc","rt"
1,"2b",1,1498.50925242849
1,"2b",1,710.687405720927
1,"2b",1,1089.22598799644
1,"2b",1,2108.28801802142
1,"2b",0,1608.06142164885
1,"2b",0,819.1029866176
1,"2b",1,685.721670325363
1,"2b",1,820.334873205354
1,"2b",1,1590.07842828165
1,"2b",1,1516.57948229131
1,"2b",1,1015.70884842944
1,"2b",1,1115.65782955053
2,"0b",1,676.117617453077
2,"0b",1,475.699869440395
2,"0b",1,940.793784802302
2,"0b",1,1199.61203675526
2,"0b",1,873.278790760729
2,"0b",1,1043.81876785815
2,"0b",1,604.659492519701
2,"0b",1,757.90736712093
2,"0b",1,759.166353021917
2,"0b",1,370.807812470237
2,"0b",1,826.667882759327
2,"0b",1,943.771177690704
3,"2b",0,1601.22966637431
3,"2b",1,592.73376262915
3,"2b",0,1407.19733697038
3,"2b",1,1456.02915157274
3,"2b",1,2100.78172750217
3,"2b",1,2070.99351385412
3,"2b",0,1567.51342134207
3,"2b",1,1125.13950282651
3,"2b",0,1287.49597095177
3,"2b",1,1492.52025058757
3,"2b",1,1036.63965612856
3,"2b",0,1486.94474444943
4,"0b",1,660.796811379207
4,"0b",1,1185.440244518
4,"0b",1,692.608315458302
4,"0b",1,626.104433046216
4,"0b",1,1112.47783474419
4,"0b",1,1134.46465432336
4,"0b",1,1004.19669113032
4,"0b",0,866.151997977831
4,"0b",1,1278.46579539443
4,"0b",1,496.80773182595
4,"0b",1,1141.33099788245
4,"0b",1,1314.31815034548
5,"2b",1,445.526466915537
5,"2b",0,2338.45177269505
5,"2b",0,1014.33012035228
5,"2b",0,1141.90451725665
5,"2b",0,1429.44258832489
5,"2b",1,674.843969898165
5,"2b",0,1168.55257838201
5,"2b",1,1330.74372023278
5,"2b",1,1130.01625591095
5,"2b",1,2313.14703067224
5,"2b",0,406.619674521781
5,"2b",0,1247.30579217904
6,"0b",1,440.477431226584
6,"0b",1,988.856415286976
6,"0b",1,540.161443111825
6,"0b",1,940.341680890044
6,"0b",1,606.258085338029
6,"0b",1,754.242332102456
6,"0b",0,1056.86446381299
6,"0b",1,841.101126088558
6,"0b",1,639.233759761633
6,"0b",1,1014.07852930299
6,"0b",1,1358.04449589165
6,"0b",1,465.552156507486
