"","block_num","block","rc","rt"
"1",1,"2b",0,435.847742339629
"2",1,"2b",1,1620.91501382581
"3",1,"2b",0,535.344734409789
"4",1,"2b",0,1300.84184424211
"5",1,"2b",1,1425.12391067417
"6",1,"2b",1,1581.93369515294
"7",1,"2b",1,1394.71311875741
"8",1,"2b",0,933.573096851437
"9",1,"2b",1,1793.18292994773
"10",1,"2b",1,2169.31688345312
"11",1,"2b",1,1740.58940446272
"12",1,"2b",1,328.174549338012
"13",2,"0b",0,1105.74712079927
"14",2,"0b",1,1013.48057674587
"15",2,"0b",1,1097.07867381327
"16",2,"0b",1,1514.8780085691
"17",2,"0b",1,999.324759108226
"18",2,"0b",1,862.214347215592
"19",2,"0b",1,1607.51420097383
"20",2,"0b",1,655.196953461108
"21",2,"0b",1,1512.42041452862
"22",2,"0b",1,912.393070401496
"23",2,"0b",1,1261.52905966904
"24",2,"0b",0,767.086903647128
"25",3,"2b",1,1202.05537558509
"26",3,"2b",1,1569.89530276814
"27",3,"2b",1,1608.22785817572
"28",3,"2b",1,1608.28390873872
"29",3,"2b",1,453.949239565459
"30",3,"2b",1,1484.3710290056
"31",3,"2b",1,1783.92960497353
"32",3,"2b",0,1938.28934073383
"33",3,"2b",0,1187.51936447794
"34",3,"2b",1,1139.0537069086
"35",3,"2b",1,2043.91891593902
"36",3,"2b",1,466.03597711034
"37",4,"0b",1,716.463792510924
"38",4,"0b",1,942.473514210216
"39",4,"0b",1,716.278348763808
"40",4,"0b",1,1044.02011222372
"41",4,"0b",1,1071.33063933491
"42",4,"0b",1,800.807498369036
"43",4,"0b",1,446.992352675082
"44",4,"0b",0,404.533781762274
"45",4,"0b",0,622.100790303405
"46",4,"0b",1,1039.21415016495
"47",4,"0b",1,603.866052571969
"48",4,"0b",1,918.318454394175
"49",5,"2b",1,1077.03248639392
"50",5,"2b",1,1415.55746720908
"51",5,"2b",0,1623.7566789888
"52",5,"2b",1,1478.14167243102
"53",5,"2b",1,970.994896025261
"54",5,"2b",1,1727.6011025321
"55",5,"2b",1,1876.46811277931
"56",5,"2b",1,1438.13727827167
"57",5,"2b",0,1372.05233123109
"58",5,"2b",0,1262.18745961008
"59",5,"2b",1,2380.70792315139
"60",5,"2b",1,1438.1577660679
"61",6,"0b",1,1046.45203413459
"62",6,"0b",1,741.754277203863
"63",6,"0b",1,1164.37663834477
"64",6,"0b",1,523.545187139127
"65",6,"0b",1,437.46718386708
"66",6,"0b",1,431.304146733856
"67",6,"0b",1,1022.68910725596
"68",6,"0b",1,775.124017298232
"69",6,"0b",1,1036.94537654615
"70",6,"0b",1,719.688073532875
"71",6,"0b",1,622.432369336156
"72",6,"0b",1,689.494227462048
