"","block_num","block","rc","rt"
"1",1,"2b",1,1860.58539032432
"2",1,"2b",1,1336.13065954446
"3",1,"2b",1,1133.78857771664
"4",1,"2b",0,382.539976686568
"5",1,"2b",0,749.913890706404
"6",1,"2b",1,1279.32985004128
"7",1,"2b",1,1713.92627255857
"8",1,"2b",0,359.160672922714
"9",1,"2b",0,1987.72055616212
"10",1,"2b",1,1999.49523215149
"11",1,"2b",1,728.34187204453
"12",1,"2b",1,1536.15028109656
"13",2,"0b",1,507.15092870085
"14",2,"0b",1,901.863097971474
"15",2,"0b",1,332.277450669868
"16",2,"0b",1,1240.94368456186
"17",2,"0b",1,1482.04187389842
"18",2,"0b",0,663.489937928351
"19",2,"0b",1,1028.33074612847
"20",2,"0b",1,797.749164887084
"21",2,"0b",1,1242.2941399148
"22",2,"0b",1,966.243179770814
"23",2,"0b",1,861.099189534845
"24",2,"0b",1,1124.88670423933
"25",3,"2b",1,1021.17818634078
"26",3,"2b",0,2044.05996419158
"27",3,"2b",1,1979.33288438502
"28",3,"2b",1,1881.60727195118
"29",3,"2b",1,2130.76197267394
"30",3,"2b",1,1402.01548991495
"31",3,"2b",1,1009.05815656511
"32",3,"2b",1,1577.60203093171
"33",3,"2b",0,1829.36156291296
"34",3,"2b",1,2506.81663573552
"35",3,"2b",1,317.508833644406
"36",3,"2b",1,1436.61785153341
"37",4,"0b",1,1072.26551180536
"38",4,"0b",1,1185.18710314238
"39",4,"0b",1,332.640860784329
"40",4,"0b",0,1124.52255445373
"41",4,"0b",1,572.905592916194
"42",4,"0b",0,413.294157845312
"43",4,"0b",1,1194.29619977583
"44",4,"0b",1,1143.87799197949
"45",4,"0b",1,727.225019688499
"46",4,"0b",0,1027.8622118715
"47",4,"0b",1,541.902277573082
"48",4,"0b",1,754.690526284387
"49",5,"2b",1,2118.37867458275
"50",5,"2b",0,1135.47901473673
"51",5,"2b",1,1556.99189322397
"52",5,"2b",0,856.765994444371
"53",5,"2b",0,800.730796998037
"54",5,"2b",1,2010.40840679243
"55",5,"2b",0,2523.99900350762
"56",5,"2b",1,780.108729298229
"57",5,"2b",1,1815.51259083338
"58",5,"2b",1,1252.92608081518
"59",5,"2b",1,1370.90372961022
"60",5,"2b",0,1911.1183507282
"61",6,"0b",1,329.854970350328
"62",6,"0b",1,806.579318845515
"63",6,"0b",1,742.892306722412
"64",6,"0b",0,1187.9208458073
"65",6,"0b",1,856.654794516989
"66",6,"0b",1,830.581740471564
"67",6,"0b",1,1009.44074265758
"68",6,"0b",1,551.89563314287
"69",6,"0b",1,741.230343180087
"70",6,"0b",1,1153.27532414233
"71",6,"0b",1,1005.04208629396
"72",6,"0b",1,417.350987974242
