"block_num","block","rc","rt"
1,"2b",1,708.094782788202
1,"2b",0,1134.30067490916
1,"2b",1,1384.01240062424
1,"2b",0,843.497234658244
1,"2b",1,1212.47093585777
1,"2b",1,384.776939556882
1,"2b",1,1076.63137403264
1,"2b",0,1885.33363736305
1,"2b",1,724.292051160137
1,"2b",1,703.533989976653
1,"2b",1,1190.06927074646
1,"2b",0,1567.33536649156
2,"0b",1,735.995178346799
2,"0b",1,875.981044883735
2,"0b",0,373.973586547841
2,"0b",1,1342.03681221148
2,"0b",1,627.501277246886
2,"0b",0,662.635742962085
2,"0b",1,502.113270203169
2,"0b",1,843.221778999798
2,"0b",0,977.342156730707
2,"0b",1,731.416628637978
2,"0b",1,804.411408064212
2,"0b",1,1085.41787447862
3,"2b",1,1996.96272263834
3,"2b",1,1500.64706790534
3,"2b",1,1055.98638851955
3,"2b",0,2293.5744040749
3,"2b",1,1182.76828465635
3,"2b",1,1540.9186801997
3,"2b",1,1493.44698460217
3,"2b",1,1423.83620466839
3,"2b",1,1559.05991767533
3,"2b",0,2298.70686694205
3,"2b",1,1763.75441184034
3,"2b",1,1398.21207443879
4,"0b",0,717.655934560319
4,"0b",1,837.450819618844
4,"0b",1,811.892788198238
4,"0b",1,608.080088740313
4,"0b",1,1410.39596567896
4,"0b",1,632.330720183349
4,"0b",1,693.266176798394
4,"0b",1,1197.32521710723
4,"0b",1,793.813331231307
4,"0b",1,1150.43792815677
4,"0b",1,617.792863725557
4,"0b",1,796.147502208368
5,"2b",1,1258.60939777785
5,"2b",1,886.077653597599
5,"2b",1,1407.59950280546
5,"2b",1,494.031821548185
5,"2b",1,2240.05317163292
5,"2b",0,1678.63084871135
5,"2b",1,1617.36431703022
5,"2b",1,1638.56455851359
5,"2b",0,1559.90713528903
5,"2b",0,1261.17247930003
5,"2b",1,1712.51938132687
5,"2b",0,1860.2845153531
6,"0b",1,523.22437326383
6,"0b",1,922.210725644107
6,"0b",0,879.203430314152
6,"0b",1,827.385066182499
6,"0b",1,595.793771340274
6,"0b",1,730.409151460705
6,"0b",1,1395.53353482938
6,"0b",1,521.252192868432
6,"0b",1,678.172930212141
6,"0b",1,378.970233856262
6,"0b",1,427.78127972722
6,"0b",1,713.970439569444
