"block_num","block","rc","rt"
1,"2b",1,658.398068188448
1,"2b",1,765.474097749657
1,"2b",1,444.741838890963
1,"2b",1,926.289908618517
1,"2b",1,811.792269382812
1,"2b",0,725.486944699442
1,"2b",1,2294.62182690371
1,"2b",0,2175.56554134925
1,"2b",0,2582.20465030648
1,"2b",0,1688.24795077067
1,"2b",1,1219.37572758037
1,"2b",1,778.369652774691
2,"0b",1,333.909097122227
2,"0b",1,897.920801533874
2,"0b",1,735.616408380651
2,"0b",1,708.8125078552
2,"0b",1,1455.25196851768
2,"0b",1,1060.90738496557
2,"0b",1,731.478138893804
2,"0b",1,714.007558782873
2,"0b",1,1097.11667603006
2,"0b",1,911.846297814275
2,"0b",1,881.632210404655
2,"0b",1,1113.52809173843
3,"2b",1,685.908190320699
3,"2b",0,664.467489308989
3,"2b",1,1363.69180415322
3,"2b",1,1680.19157899401
3,"2b",1,1096.1735419889
3,"2b",1,1011.28932754098
3,"2b",0,1487.16043711048
3,"2b",1,848.572510628592
3,"2b",1,1501.28745309153
3,"2b",1,2013.6058614767
3,"2b",0,1052.04047703634
3,"2b",1,1648.36269077694
4,"0b",1,443.785803542875
4,"0b",1,960.105502507165
4,"0b",1,647.592748770274
4,"0b",1,956.816188431118
4,"0b",1,746.46084126307
4,"0b",1,725.590020319548
4,"0b",1,1004.62984902192
4,"0b",1,1023.86045802075
4,"0b",0,883.72311133582
4,"0b",1,939.214814613884
4,"0b",0,913.538123759987
4,"0b",1,883.512200465898
5,"2b",1,1223.50083565267
5,"2b",0,755.264788377368
5,"2b",0,1055.9837730992
5,"2b",1,865.022541349603
5,"2b",0,1150.74570651237
5,"2b",0,1037.35271367981
5,"2b",0,1201.65709206152
5,"2b",0,788.050040862877
5,"2b",0,988.848941713023
5,"2b",1,1477.79357853897
5,"2b",0,1406.80297675131
5,"2b",0,1097.96515921393
6,"0b",1,632.513599002716
6,"0b",1,793.395489127974
6,"0b",1,1044.68103863672
6,"0b",1,525.795655581931
6,"0b",1,633.553760675259
6,"0b",1,959.667004215454
6,"0b",0,924.712906917337
6,"0b",1,1042.05775454369
6,"0b",1,1175.82445906895
6,"0b",1,1030.95582253445
6,"0b",1,476.710217836043
6,"0b",1,846.134409963187
