"block_num","block","rc","rt"
1,"2b",0,2260.80577888427
1,"2b",0,1586.06788890312
1,"2b",0,442.552473080722
1,"2b",1,1477.45944786621
1,"2b",1,1352.5909329055
1,"2b",1,1279.07098483802
1,"2b",1,1006.36961606648
1,"2b",1,856.351503621373
1,"2b",0,1419.35840987534
1,"2b",0,1725.4451511469
1,"2b",1,2163.50441660703
1,"2b",0,1671.80566390498
2,"0b",1,888.54780141039
2,"0b",1,1114.35867377583
2,"0b",1,730.6494474095
2,"0b",1,1143.20505377862
2,"0b",1,666.511737357236
2,"0b",1,671.228778832067
2,"0b",0,807.613790436735
2,"0b",1,479.224348285312
2,"0b",1,663.028507749714
2,"0b",1,1133.00114854472
2,"0b",1,1295.54861129172
2,"0b",1,1134.27640388851
3,"2b",1,769.687890526431
3,"2b",1,1662.75273068295
3,"2b",1,946.034056446829
3,"2b",1,1227.97562474519
3,"2b",1,813.142211559283
3,"2b",1,1327.97221292657
3,"2b",1,1546.17327657524
3,"2b",1,1551.27262733345
3,"2b",1,762.371011385306
3,"2b",1,1929.02112501329
3,"2b",1,2046.48585652219
3,"2b",1,1486.45521320537
4,"0b",1,699.26943728674
4,"0b",1,1138.80347855065
4,"0b",1,788.695156468813
4,"0b",1,770.083889184979
4,"0b",1,934.106135796162
4,"0b",1,1169.00950185011
4,"0b",1,818.063129784532
4,"0b",1,801.449529777608
4,"0b",1,440.236423409758
4,"0b",1,507.168288905075
4,"0b",1,492.31188462951
4,"0b",1,560.231922646231
5,"2b",0,886.888068065002
5,"2b",1,1040.69213889308
5,"2b",1,714.140650383312
5,"2b",1,1760.01667473491
5,"2b",1,1036.15396132255
5,"2b",0,579.429988953062
5,"2b",1,321.607607905112
5,"2b",1,1314.32909853963
5,"2b",0,2069.11783066139
5,"2b",0,2117.32017739991
5,"2b",1,1018.61189582362
5,"2b",0,951.522145740878
6,"0b",1,738.252074665114
6,"0b",1,305.28296826324
6,"0b",1,795.407638042299
6,"0b",1,531.529496745974
6,"0b",1,813.89591725507
6,"0b",1,938.301223815135
6,"0b",1,648.878369840617
6,"0b",1,493.280463135199
6,"0b",1,616.477331290907
6,"0b",1,599.781949035652
6,"0b",1,352.017251283359
6,"0b",1,565.814535828141
