"block_num","block","rc","rt"
1,"2b",1,2654.4797095034
1,"2b",1,1043.02213215184
1,"2b",0,698.602621386128
1,"2b",1,1186.18759688154
1,"2b",0,1162.050391207
1,"2b",0,935.095596987535
1,"2b",1,2217.07785876177
1,"2b",0,1428.53266853249
1,"2b",1,2496.79268709398
1,"2b",1,1711.80831310918
1,"2b",1,667.343924871982
1,"2b",1,923.254392465908
2,"0b",1,606.938319841227
2,"0b",1,413.203793250751
2,"0b",1,902.268469579494
2,"0b",1,1076.70070222787
2,"0b",1,776.099177076446
2,"0b",1,1026.08529581734
2,"0b",1,1468.2589050572
2,"0b",1,1380.14638458731
2,"0b",1,651.528356967159
2,"0b",1,964.01355241852
2,"0b",1,589.33680867616
2,"0b",1,1006.94402717048
3,"2b",1,1261.68931369241
3,"2b",1,1338.19918999794
3,"2b",1,2118.43200584692
3,"2b",1,744.638005833125
3,"2b",1,2529.49560174549
3,"2b",1,913.343806768494
3,"2b",0,1387.32168748003
3,"2b",1,972.769734835139
3,"2b",1,1665.88668206437
3,"2b",0,1552.61652928951
3,"2b",1,1505.28611087627
3,"2b",1,1066.61734823366
4,"0b",1,754.534239676283
4,"0b",1,751.144543242878
4,"0b",1,817.353659886718
4,"0b",1,1261.14346567585
4,"0b",1,581.986241572882
4,"0b",0,738.571184134294
4,"0b",1,823.617887732899
4,"0b",1,398.520232044482
4,"0b",1,523.691229439116
4,"0b",1,860.078584582732
4,"0b",1,928.120738321728
4,"0b",1,1142.02706281409
5,"2b",1,1452.43605565273
5,"2b",1,1234.78905502574
5,"2b",0,1153.19330649405
5,"2b",1,2093.12772770338
5,"2b",1,1900.57275202962
5,"2b",0,798.130144400375
5,"2b",1,604.491508591887
5,"2b",0,1842.64794046493
5,"2b",1,1580.30590300867
5,"2b",1,1044.50950745514
5,"2b",0,1498.22598278555
5,"2b",1,967.429263533277
6,"0b",1,744.360011263094
6,"0b",1,1019.18418183807
6,"0b",1,1059.1174528156
6,"0b",1,641.375715609541
6,"0b",1,536.43804812957
6,"0b",1,903.522622053616
6,"0b",1,514.976723195491
6,"0b",1,1032.07613811723
6,"0b",1,439.766861965208
6,"0b",1,727.76448091569
6,"0b",1,709.377949658837
6,"0b",1,952.813652567276
